year,net,reason,hold
2020,0.8835568417662054,target,57
2020,-1.0374936346861197,stop,3
2020,-1.0285760834116733,stop,22
2020,0.881532898852736,target,44
2020,0.4234682746056984,target,103
2020,-1.0259950628023655,stop,8
2020,-1.0426146574956363,stop,9
2020,-1.0696918585710222,stop,2
2020,0.9839783580649214,target,17
2020,0.5971291201467639,target,185
2020,-1.043246398229896,stop,4
2020,1.3417193908671547,target,18
2020,-1.0163471763691299,stop,70
2020,0.5378500130350479,target,175
2020,0.9292213711336549,target,5
2020,-1.0335629432441809,stop,73
2020,0.7799453948824892,target,82
2020,0.700752970310046,target,58
2020,-1.0355327600353055,stop,12
2020,0.7189289300063777,target,79
2021,-1.0208106451635997,stop,41
2021,0.7803864596664951,target,69
2021,0.6145286267163546,target,231
2021,-1.0140248240195926,stop,98
2021,0.8593003449005508,target,21
2021,0.8790641081447531,target,19
2021,-1.02659818151466,stop,29
2021,0.7115894692419092,target,65
2021,-1.0331899276936307,stop,3
2021,-0.06923108314258708,eod,179
2021,-1.0128718309212859,stop,177
2021,0.6176989728502833,target,116
2021,0.9038993255295181,target,26
2021,-1.018721713427414,stop,7
2021,0.9768957588381006,target,6
2021,-1.0075354283854863,stop,139
2021,1.0839658882762646,target,20
2021,-1.0169130216876612,stop,208
2021,-1.0267439841456678,stop,10
2021,0.9979262777141625,target,7
2021,0.6936844670539096,target,49
2021,-1.0542440996211044,stop,5
2021,-1.047309433646628,stop,33
2021,-1.0455598650484228,stop,6
2021,0.9742407876335503,target,9
2021,-1.0402707461392449,stop,43
2021,-1.0768723190961988,stop,128
2021,0.9683290953374771,target,9
2021,0.6089263458807439,target,148
2021,0.6468801162111258,target,70
2021,-0.7300985250181137,eod,301
2021,1.0158464455859975,target,55
2021,-1.012777936708536,stop,40
2021,-1.0086033477449308,stop,84
2021,-1.0219060748262476,stop,26
2021,-1.0187916073221945,stop,71
2021,-1.0083679737759983,stop,226
2021,1.01138784486013,target,29
2021,-1.0101102688117067,stop,47
2021,0.8936396707698381,target,73
2021,-1.0067541251027732,stop,220
2021,0.9024967302946872,target,19
2021,-1.0158338167789354,stop,52
2021,0.8519079491605464,target,36
2021,-1.0132526149581882,stop,125
2021,0.8566413920509911,target,25
2021,0.7596335400209819,target,61
2021,-1.0166768129932253,stop,14
2021,0.8880985708527777,target,37
2021,0.9628858279794376,target,24
2021,-1.01187666871998,stop,316
2021,-1.0124122117477434,stop,135
2021,0.9909617760997582,target,13
2021,-1.0301573127422825,stop,67
2021,-1.0420704198614505,stop,5
2021,-1.0324111260905577,stop,39
2021,-1.028462090241409,stop,3
2021,-1.0278641718768797,stop,5
2021,-1.0316212252476538,stop,74
2021,0.9394610985452193,target,11
2021,-1.0294212526460709,stop,34
2021,-1.03558586873342,stop,48
2021,0.9511125809416484,target,126
2021,0.8915520179788596,target,31
2021,-1.0239691647619025,stop,35
2021,0.8630401929393479,target,37
2021,1.2298494489449212,target,33
2021,-1.0096961717953374,stop,75
2021,0.8117903080681838,target,27
2021,0.7813133549795878,target,37
2021,0.8937288827129248,target,136
2021,-1.0094456397400362,stop,254
2021,-1.0110789012832222,stop,53
2021,0.7511238753088745,target,87
2021,-1.0154261353725038,stop,112
2021,0.8156961016381991,target,41
