entry_time_et,exit_time_et,side,qty,entry_price,exit_price,pnl_usd,stop_dist_pt,r_multiple,exit_reason,duration_min
2021-09-06 09:45:00,2021-09-06 12:55:00,LONG,30,19503.75,19509.25,270.0,11.0,0.41,收盘平仓,190.0
2021-09-07 09:30:00,2021-09-07 09:35:00,SHORT,31,19441.0,19451.75,-728.5,10.5,-1.12,初始止损,5.0
2021-09-08 09:30:00,2021-09-08 09:45:00,SHORT,32,19436.5,19446.75,-720.0,10.25,-1.1,初始止损,15.0
2021-09-09 09:30:00,2021-09-09 11:15:00,LONG,31,19454.0,19443.5,-713.0,10.25,-1.12,初始止损,105.0
2021-09-10 09:30:00,2021-09-10 09:45:00,LONG,31,19469.75,19459.25,-713.0,10.25,-1.12,初始止损,15.0
2021-09-13 09:35:00,2021-09-13 09:40:00,SHORT,29,19281.75,19292.75,-696.0,10.75,-1.12,初始止损,5.0
2021-09-14 09:35:00,2021-09-14 09:40:00,SHORT,28,19272.25,19283.75,-700.0,11.25,-1.11,初始止损,5.0
2021-09-15 09:30:00,2021-09-15 12:25:00,SHORT,28,19187.75,19187.75,-56.0,11.25,-0.09,保本止损,175.0
2021-09-16 09:30:00,2021-09-16 09:35:00,LONG,27,19268.0,19256.25,-688.5,11.5,-1.11,初始止损,5.0
2021-09-17 09:30:00,2021-09-17 15:55:00,SHORT,26,19245.0,19126.25,6123.0,11.75,10.02,收盘平仓,385.0
2021-09-20 09:35:00,2021-09-20 09:40:00,LONG,27,18927.25,18914.75,-729.0,12.25,-1.1,初始止损,5.0
2021-09-21 09:30:00,2021-09-21 09:35:00,SHORT,23,18857.5,18872.0,-713.0,14.0,-1.11,初始止损,5.0
2021-09-22 09:30:00,2021-09-22 09:50:00,SHORT,24,18835.25,18849.0,-708.0,13.75,-1.07,初始止损,20.0
2021-09-23 09:35:00,2021-09-23 15:55:00,LONG,23,19044.5,19103.75,2679.5,14.0,4.16,收盘平仓,380.0
2021-09-24 09:30:00,2021-09-24 09:35:00,LONG,24,19026.5,19012.5,-720.0,14.0,-1.07,初始止损,5.0
2021-09-27 09:30:00,2021-09-27 10:20:00,SHORT,24,18957.25,18971.25,-720.0,13.75,-1.09,初始止损,50.0
2021-09-28 09:40:00,2021-09-28 09:55:00,SHORT,23,18732.75,18747.25,-713.0,14.0,-1.11,初始止损,15.0
2021-09-29 09:40:00,2021-09-29 09:45:00,SHORT,21,18599.75,18615.5,-703.5,15.5,-1.08,初始止损,5.0
2021-09-30 09:30:00,2021-09-30 09:35:00,LONG,21,18651.25,18635.75,-693.0,15.5,-1.06,初始止损,5.0
2021-10-01 09:30:00,2021-10-01 09:35:00,SHORT,20,18483.75,18500.0,-690.0,15.5,-1.11,初始止损,5.0
2021-10-04 09:30:00,2021-10-04 15:55:00,SHORT,20,18477.0,18272.25,8150.0,15.75,12.94,收盘平仓,385.0
2021-10-05 09:30:00,2021-10-05 09:35:00,LONG,20,18333.25,18315.75,-740.0,16.75,-1.1,初始止损,5.0
2021-10-06 09:30:00,2021-10-06 09:55:00,LONG,20,18361.5,18344.0,-740.0,17.25,-1.07,初始止损,25.0
2021-10-07 09:30:00,2021-10-07 09:35:00,LONG,19,18736.75,18718.5,-731.5,17.5,-1.1,初始止损,5.0
2021-10-08 09:30:00,2021-10-08 09:40:00,SHORT,19,18673.0,18691.0,-722.0,17.5,-1.09,初始止损,10.0
2021-10-11 09:30:00,2021-10-11 13:20:00,LONG,20,18578.5,18578.5,-40.0,17.0,-0.06,保本止损,230.0
2021-10-12 09:35:00,2021-10-12 09:40:00,SHORT,20,18538.5,18555.5,-720.0,17.0,-1.06,初始止损,5.0
2021-10-13 09:35:00,2021-10-13 09:40:00,LONG,20,18578.75,18561.75,-720.0,16.5,-1.09,初始止损,5.0
2021-10-14 09:30:00,2021-10-14 09:35:00,SHORT,20,18704.0,18720.75,-710.0,16.25,-1.09,初始止损,5.0
2021-10-15 09:30:00,2021-10-15 09:35:00,SHORT,20,18857.25,18874.0,-710.0,16.5,-1.08,初始止损,5.0
